code,area
20,Dehu Road
33,Calcutta
79,Ahmedabad
80,Bangalore
129,Bullabhgarh
135,Dehradun
144,Alwar
145,Ajmer
151,Bikaner
164,Batinda
171,Ambala
172,Chandigarh
183,Amritsar
240,Aurangabad
240,Chikalthana
241,Ahmednagar
251,Ambernath
261,Daman
265,Baroda
278,Bhavnagar
341,Andal
341,Bahula
341,Barakar
341,Buranpur (W.B.)
342,Burdwan
353,Bagdogara
354,Darjeeling
389,Aizwal
416,Ammundi
422,Coimbatore
423,Coonoor
435,Aduthurai
451,Chinnalapatti
472,Attingal
473,Adoor
474,Chinnakkada
477,Alleppey
477,Ambalapuzha
478,Aroor
479,Chengannur
481,Chingavanam
482,Changanacherry
484,Ambalamugul
484,Angamaly
485,Cheruvathur (CNN)
487,Chavakad
487,Cherpu
488,Alagappanagar
488,Chalakkudy
488,Cranganore
492,Alathur
495,Calicut (Feroke)
496,Badagara
497,Balipatanam
497,Cannanore
532,Allahabad
562,Agra
571,Aligarh
581,Bareily
641,Bhagalpur
671,Cuttack
674,Bhubaneshwar
680,Berhampur (Bihar)
724,Akola
747,Bundi
755,Bhopal
788,Bhilai
824,Baikampady
824,Bajpe
831,Belgaum
832,Calangute
1234,Baraut
1336,Deoband
1342,Bijnor
1462,Beawar
1562,Churu
1634,Abohar
1636,Baghapurana
1664,Bhiwani
1675,Ahmedgarh
1679,Barnala
1763,Bassi Pathana
1765,Amloh (MSTD)
1853,Beas
1932,Anantnag
1952,Baramulla
1978,Bilaspur (H.P.)
2112,Baramati
2184,Barshi
2355,Chiplun
2487,Belwadi (Mysore)
2522,Bhiwandi
2582,Bhusaval
2622,Bardoli
2631,Ahwa
2632,Atul
2634,Billimora
2642,Bharuch
2646,Ankleshwar
2663,Dabhool
2692,Anand
2744,Deesa
2792,Amreli
2832,Bhuj
2836,Anjar
3242,Bankura
3463,Bolepur
3482,Berhampur (W.B.)
3522,Bolla
3582,Coochbihar
3664,Bongaigaon
3665,Barpata Town
4114,Chingelpet
4144,Chidhambaram
4173,Arni
4174,Ambur
4177,Arakonam
4256,Bhavani
4258,Dharapuram
4282,Attur
4296,Avinashi
4546,Bodinayakkanur
4561,Devakottai
4566,Aruppukottai
4634,Ambasamundram
5192,Banda
5414,Bhadohi
5542,Basti
5644,Bharatpur
5732,Bulandshahar
5962,Almora
6112,Biharsharif
6115,Danapur
6182,Arrah
6184,Dalmianagar
6243,Begusarai
6254,Bettiah
6272,Darbhanga
6432,Deoghar (Ranchi)
6540,Chirkunda
6542,Chas
6562,Daltongunj
6582,Chaibasa
6646,Baragarh (Sambalpur)
6652,Bolangir
6764,Angul
6767,Barbil
6782,Balasore
6784,Bhadrak
6792,Baripada
6811,Chatrapur
7162,Chindwara
7172,Chandrapur (Nagpur)
7184,Bhandara
7262,Buldhana
7272,Dewas
7325,Burhanpur (M.P.)
7534,Bhind
7774,Ambikapur
7853,Bijapur
8113,Chennapatana
8156,Chikkalballapur
8182,Bhadravati (Shimoga)
8192,Davangere
8194,Chitradurga
8255,Bantwal
8262,Chikmaglur
8354,Bagalkot
8385,Bhatkal
8393,Bellary (Hubli)
8463,Armoor
8482,Bidar
8512,Adoni
8554,Anantapur
8562,Cuddapah
8646,Chilakaluripet
8732,Adilabad
8743,Bhadrachalam
8816,Bhimavaram
8837,Davleshwaram
8856,Ambajipet
8857,Anaparthi
8924,Anakapalli
8944,Amudalavalasa
8944,Bobbili
16696,Choutala
671792,Chowdwar
01672-72,Bhawanigarh
02733-449,Baspa
03561-55,Alipurduar
0484-62,Alwaye
0834-760,Assolna
